best_params,model,test_accuracy,test_balanced_accuracy,test_custom_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,train_accuracy,train_balanced_accuracy,train_custom_accuracy,train_f1_macro,train_f1_weighted,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted
"{'max_depth': 7, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 51, 'subsample': 0.7270942636108306}",gradient_boosting,0.8614743776034098,0.5032615738403982,0.6693399990229445,0.4808352205810996,0.8697472580473185,0.4741572374549988,0.8816559070467923,0.5032615738403982,0.8614743776034098,0.8294636934224626,0.7589077918587123,0.7426394021515973,0.8009467712224823,0.8210696138678509,0.8743061722192909,0.8371511909633389,0.7589077918587123,0.8294636934224626
"{'solver': 'svd', 'alpha': 1}",ridge,0.863508669ju9602829,0.28812943011335784,0.5589734403751894,0.2982447524944251,0.8442356755223038,0.42441861184150426,0.8356799802744718,0.28812943011335784,0.8635086699602829,0.5734551206817371,0.2991910083431796,0.3152927650488627,0.3071387395440676,0.488095363015171,0.4904190533991325,0.5071488482956262,0.2991910083431796,0.5734551206817371
"{'shrinkage': 0.09845651447194592, 'solver': 'lsqr'}",lda,0.8302818947980238,0.3304867736063679,0.5515152502076243,0.2812800364743809,0.8271086975880999,0.2887823911693413,0.8285255104604139,0.3304867736063679,0.8302818947980238,0.5667193958258917,0.3621883206068933,0.345080068982508,0.35770522311866376,0.4977725937405057,0.4196722238158466,0.489156170713027,0.3621883206068933,0.5667193958258917
"{'max_depth': 7, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 51}",random_forest,0.8492201879298653,0.4120602175525577,0.6246885635656012,0.3999595185645536,0.853494844180688,0.5154086283939089,0.8771042622046038,0.4120602175525577,0.8492201879298653,0.6580088789100372,0.4782896859445436,0.4856270017245628,0.504642825923945,0.6136817945250115,0.6849803469335028,0.6661462346885653,0.4782896859445436,0.6580088789100372
"{'kernel': 'linear', 'gamma': 0.001, 'C': 100}",support_vector_machine,0.8474765087668313,0.3819929493452335,0.5865589734403751,0.34648513474682424,0.8431542374986027,0.3387163854434568,0.8423515936516488,0.3819929493452335,0.8474765087668313,0.6030004592539674,0.4111682835645167,0.397542908762421,0.4155464322963989,0.5418441237246184,0.5729797044802345,0.5885125730630411,0.4111682835645167,0.6030004592539674
